transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,qtypurchased,saletime,StandardDateTime
762,5/4/2025,1139,2048,401,3.0,357.63,1,afternoon,2025-05-04
763,5/4/2025,1147,2083,402,1.0,691.34,3,morning,2025-05-04
767,5/4/2025,1041,2093,401,0.0,755.94,1,evening,2025-05-04
769,5/4/2025,1110,2083,402,3.0,768.16,4,morning,2025-05-04
772,5/4/2025,1169,2036,403,1.0,392.36,1,afternoon,2025-05-04
776,5/4/2025,1051,2012,401,1.0,1121.74,2,evening,2025-05-04
777,5/4/2025,1043,2081,403,0.0,746.22,1,afternoon,2025-05-04
778,5/4/2025,1121,2014,403,3.0,985.2,3,morning,2025-05-04
781,5/4/2025,1094,2048,403,1.0,321.87,2,morning,2025-05-04
782,5/4/2025,1114,2005,403,3.0,428.78,1,morning,2025-05-04
783,5/4/2025,1119,2033,402,2.0,1338.0,3,evening,2025-05-04
784,5/4/2025,1144,2007,402,0.0,1166.78,4,afternoon,2025-05-04
786,5/4/2025,1193,2075,402,0.0,1561.28,2,evening,2025-05-04
788,5/4/2025,1146,2030,404,2.0,543.9,3,morning,2025-05-04
792,5/4/2025,1010,2054,401,3.0,900.51,1,morning,2025-05-04
794,5/4/2025,1081,2093,401,0.0,755.94,4,afternoon,2025-05-04
795,5/4/2025,1099,2071,404,2.0,984.26,5,morning,2025-05-04
799,5/4/2025,1027,2072,401,2.0,672.48,4,evening,2025-05-04
800,5/4/2025,1137,2044,404,2.0,830.32,5,afternoon,2025-05-04
803,5/4/2025,1036,2079,404,0.0,950.54,3,evening,2025-05-04
804,5/4/2025,1101,2042,402,0.0,335.22,4,afternoon,2025-05-04
807,5/4/2025,1071,2062,401,1.0,557.42,1,afternoon,2025-05-04
810,5/4/2025,1048,2056,402,3.0,524.72,5,afternoon,2025-05-04
815,5/4/2025,1049,2025,401,1.0,503.32,5,morning,2025-05-04
816,5/4/2025,1008,2058,401,2.0,533.4,2,evening,2025-05-04
817,5/4/2025,1180,2025,403,2.0,894.78,1,afternoon,2025-05-04
818,5/4/2025,1118,2064,404,0.0,882.12,3,morning,2025-05-04
819,5/4/2025,1174,2003,402,2.0,308.14,4,evening,2025-05-04
820,5/4/2025,1125,2076,404,1.0,725.46,5,afternoon,2025-05-04
822,5/4/2025,1041,2033,401,2.0,669.0,1,morning,2025-05-04
823,5/4/2025,1007,2049,401,1.0,845.86,3,evening,2025-05-04
824,5/4/2025,1146,2099,402,1.0,581.69,4,afternoon,2025-05-04
825,5/4/2025,1165,2028,402,2.0,1531.06,5,morning,2025-05-04
826,5/4/2025,1166,2052,401,0.0,731.26,2,evening,2025-05-04
827,5/4/2025,1121,2016,402,0.0,646.04,1,afternoon,2025-05-04
829,5/4/2025,1108,2048,403,3.0,357.63,4,evening,2025-05-04
830,5/4/2025,1064,2027,404,2.0,413.78,5,afternoon,2025-05-04
832,5/4/2025,1001,2065,403,2.0,376.27,1,morning,2025-05-04
833,5/4/2025,1076,2087,401,3.0,796.6,3,evening,2025-05-04
835,5/4/2025,1070,2033,403,1.0,752.62,5,morning,2025-05-04
836,5/4/2025,1038,2066,402,0.0,1032.12,2,evening,2025-05-04
837,5/4/2025,1153,2051,403,1.0,316.76,1,afternoon,2025-05-04
844,5/4/2025,1024,2060,402,2.0,326.7,4,afternoon,2025-05-04
845,5/4/2025,1185,2071,402,2.0,984.26,5,morning,2025-05-04
846,5/4/2025,1167,2011,402,2.0,327.79,2,evening,2025-05-04
848,5/4/2025,1084,2047,403,2.0,803.95,3,morning,2025-05-04
850,5/4/2025,1162,2074,401,3.0,659.5,5,afternoon,2025-05-04
851,5/4/2025,1049,2064,401,3.0,882.12,2,morning,2025-05-04
852,5/4/2025,1135,2038,404,0.0,926.51,1,morning,2025-05-04
853,5/4/2025,1038,2017,402,2.0,741.92,3,evening,2025-05-04
854,5/4/2025,1104,2072,404,1.0,1134.81,4,afternoon,2025-05-04
857,5/4/2025,1162,2007,401,3.0,583.39,1,afternoon,2025-05-04
861,5/4/2025,1109,2061,404,0.0,799.68,2,morning,2025-05-04
864,5/4/2025,1173,2000,402,1.0,872.38,4,afternoon,2025-05-04
865,5/4/2025,1177,2044,403,1.0,373.64,5,morning,2025-05-04
867,5/4/2025,1016,2005,403,2.0,686.05,1,afternoon,2025-05-04
868,5/4/2025,1116,2093,403,3.0,755.94,3,morning,2025-05-04
869,5/4/2025,1175,2017,403,3.0,463.7,4,evening,2025-05-04
870,5/4/2025,1091,2096,402,1.0,1209.92,5,afternoon,2025-05-04
871,5/4/2025,1103,2002,402,1.0,779.4,2,morning,2025-05-04
872,5/4/2025,1186,2016,402,0.0,646.04,1,morning,2025-05-04
876,5/4/2025,1169,2013,401,0.0,935.36,2,evening,2025-05-04
877,5/4/2025,1176,2014,404,3.0,1231.5,1,afternoon,2025-05-04
880,5/4/2025,1077,2053,401,2.0,976.24,5,afternoon,2025-05-04
881,5/4/2025,1159,2077,402,3.0,561.83,2,morning,2025-05-04
884,5/4/2025,1155,2025,403,1.0,503.32,4,afternoon,2025-05-04
886,5/4/2025,1041,2005,404,1.0,385.9,2,evening,2025-05-04
887,5/4/2025,1176,2061,403,1.0,359.86,1,afternoon,2025-05-04
889,5/4/2025,1146,2085,404,1.0,653.81,4,evening,2025-05-04
890,5/4/2025,1023,2099,401,0.0,1292.64,5,afternoon,2025-05-04
893,5/4/2025,1025,2022,401,2.0,1073.89,3,evening,2025-05-04
894,5/4/2025,1092,2086,403,3.0,894.1,4,afternoon,2025-05-04
897,5/4/2025,1091,2056,403,0.0,1049.44,1,afternoon,2025-05-04
902,5/4/2025,1178,2092,401,1.0,867.98,1,morning,2025-05-04
904,5/4/2025,1046,2078,404,2.0,454.43,4,afternoon,2025-05-04
909,5/4/2025,1132,2066,401,3.0,1548.18,4,evening,2025-05-04
910,5/4/2025,1169,2093,402,3.0,755.94,5,afternoon,2025-05-04
912,5/4/2025,1142,2078,401,0.0,568.04,1,morning,2025-05-04
917,5/4/2025,1060,2010,404,3.0,544.88,1,afternoon,2025-05-04
918,5/4/2025,1146,2057,401,3.0,436.98,3,morning,2025-05-04
922,5/4/2025,1023,2077,403,1.0,505.65,1,morning,2025-05-04
923,5/4/2025,1167,2085,404,2.0,387.44,3,evening,2025-05-04
924,5/4/2025,1093,2006,402,3.0,594.0,4,afternoon,2025-05-04
925,5/4/2025,1084,2071,404,2.0,492.13,5,morning,2025-05-04
926,5/4/2025,1183,2057,401,0.0,873.96,2,evening,2025-05-04
927,5/4/2025,1194,2084,402,0.0,563.7,1,afternoon,2025-05-04
928,5/4/2025,1087,2045,403,2.0,499.42,3,morning,2025-05-04
930,5/4/2025,1126,2017,404,0.0,927.4,5,afternoon,2025-05-04
933,5/4/2025,1005,2024,403,0.0,621.35,3,evening,2025-05-04
935,5/4/2025,1197,2057,404,1.0,1179.85,5,morning,2025-05-04
936,5/4/2025,1127,2000,401,3.0,969.31,2,evening,2025-05-04
937,5/4/2025,1149,2061,402,1.0,359.86,1,afternoon,2025-05-04
940,5/4/2025,1107,2077,402,2.0,898.93,5,afternoon,2025-05-04
944,5/4/2025,1051,2026,403,2.0,338.5,4,afternoon,2025-05-04
945,5/4/2025,1172,2016,402,2.0,516.83,5,morning,2025-05-04
947,5/4/2025,1149,2073,404,2.0,799.09,1,afternoon,2025-05-04
948,5/4/2025,1108,2001,401,0.0,412.35,3,morning,2025-05-04
949,5/4/2025,1097,2018,401,0.0,1084.52,4,evening,2025-05-04
952,5/4/2025,1176,2037,402,0.0,720.28,1,morning,2025-05-04
953,5/4/2025,1091,2057,401,1.0,786.56,3,evening,2025-05-04
955,5/4/2025,1130,2089,403,0.0,413.52,5,morning,2025-05-04
960,5/4/2025,1198,2092,402,2.0,771.54,5,afternoon,2025-05-04
962,5/4/2025,1044,2094,401,3.0,493.35,1,morning,2025-05-04
963,5/4/2025,1010,2054,403,2.0,720.41,3,evening,2025-05-04
964,5/4/2025,1033,2020,403,0.0,751.66,4,afternoon,2025-05-04
969,5/4/2025,1047,2066,401,1.0,464.45,4,evening,2025-05-04
970,5/4/2025,1106,2069,404,0.0,464.78,5,afternoon,2025-05-04
973,5/4/2025,1192,2079,404,0.0,950.54,3,evening,2025-05-04
974,5/4/2025,1029,2085,403,3.0,726.45,4,afternoon,2025-05-04
975,5/4/2025,1061,2082,402,0.0,533.2,5,morning,2025-05-04
976,5/4/2025,1174,2041,404,0.0,804.21,2,evening,2025-05-04
979,5/4/2025,1124,2005,403,1.0,1157.71,4,evening,2025-05-04
980,5/4/2025,1082,2065,401,0.0,1411.02,5,afternoon,2025-05-04
982,5/4/2025,1053,2085,402,3.0,726.45,1,morning,2025-05-04
983,5/4/2025,1026,2026,404,0.0,423.12,3,evening,2025-05-04
984,5/4/2025,1191,2087,402,0.0,477.96,4,afternoon,2025-05-04
987,5/4/2025,1064,2071,401,1.0,1107.29,1,afternoon,2025-05-04
989,5/4/2025,1161,2051,404,2.0,375.42,4,evening,2025-05-04
990,5/4/2025,1004,2049,401,0.0,939.84,5,afternoon,2025-05-04
993,5/4/2025,1074,2087,403,0.0,477.96,3,evening,2025-05-04
994,5/4/2025,1072,2097,404,3.0,842.1,4,afternoon,2025-05-04
995,5/4/2025,1101,2084,401,3.0,1127.4,5,morning,2025-05-04
997,5/4/2025,1191,2050,403,1.0,504.31,1,afternoon,2025-05-04
999,5/4/2025,1141,2071,402,0.0,1230.32,4,evening,2025-05-04
1001,5/4/2025,1078,2026,403,1.0,761.62,2,morning,2025-05-04
1003,5/4/2025,1047,2028,403,1.0,1148.29,3,evening,2025-05-04
1007,5/4/2025,1050,2092,404,2.0,771.54,1,afternoon,2025-05-04
1008,5/4/2025,1091,2016,402,0.0,1292.08,5,morning,2025-05-04
1009,5/4/2025,1072,2079,401,1.0,855.49,2,evening,2025-05-04
1010,5/4/2025,1081,2062,404,2.0,495.49,4,afternoon,2025-05-04
1012,5/4/2025,1144,2072,403,2.0,672.48,3,morning,2025-05-04
1013,5/4/2025,1109,2021,401,2.0,668.33,2,evening,2025-05-04
1014,5/4/2025,1063,2028,404,2.0,510.35,5,afternoon,2025-05-04
1016,5/4/2025,1118,2057,403,2.0,699.17,2,evening,2025-05-04
1018,5/4/2025,1165,2077,401,2.0,449.46,3,morning,2025-05-04
1021,5/4/2025,1004,2064,401,3.0,882.12,2,morning,2025-05-04
1024,5/4/2025,1093,2050,402,2.0,448.27,4,afternoon,2025-05-04
1025,5/4/2025,1034,2059,401,3.0,1536.15,5,morning,2025-05-04
1026,5/4/2025,1093,2064,401,1.0,793.91,2,evening,2025-05-04
1028,5/4/2025,1114,2020,402,1.0,676.49,3,morning,2025-05-04
1030,5/4/2025,1010,2028,404,1.0,1148.29,5,afternoon,2025-05-04
1032,5/4/2025,1010,2085,402,2.0,387.44,1,morning,2025-05-04
1034,5/4/2025,1010,2083,403,0.0,768.16,4,evening,2025-05-04
1035,5/4/2025,1180,2066,403,2.0,1238.54,5,afternoon,2025-05-04
1036,5/4/2025,1148,2069,402,3.0,697.17,2,morning,2025-05-04
1037,5/4/2025,1167,2048,403,0.0,1072.89,1,evening,2025-05-04
1038,5/4/2025,1132,2032,404,1.0,851.04,3,afternoon,2025-05-04
1041,5/4/2025,1112,2021,402,0.0,835.41,2,evening,2025-05-04
1045,5/4/2025,1106,2042,401,3.0,1173.27,5,afternoon,2025-05-04
1046,5/4/2025,1172,2061,404,1.0,719.71,2,morning,2025-05-04
1047,5/4/2025,1151,2020,404,0.0,1127.49,1,evening,2025-05-04
1048,5/4/2025,1062,2005,402,1.0,385.9,3,afternoon,2025-05-04
1050,5/4/2025,1014,2021,403,1.0,1503.74,5,morning,2025-05-04
1052,5/4/2025,1021,2027,404,3.0,775.83,1,afternoon,2025-05-04
1054,5/4/2025,1153,2018,402,2.0,867.62,4,evening,2025-05-04
1055,5/4/2025,1042,2092,403,3.0,1446.63,5,afternoon,2025-05-04
1057,5/4/2025,1096,2049,402,0.0,939.84,1,evening,2025-05-04
1059,5/4/2025,1155,2012,402,3.0,623.19,4,morning,2025-05-04
1062,5/4/2025,1198,2086,404,3.0,894.1,1,afternoon,2025-05-04
1063,5/4/2025,1094,2005,404,1.0,771.8,3,morning,2025-05-04
1067,5/4/2025,1021,2036,404,2.0,348.77,1,evening,2025-05-04
1069,5/4/2025,1133,2000,404,1.0,872.38,4,morning,2025-05-04
1071,5/4/2025,1027,2019,404,2.0,747.14,2,evening,2025-05-04
1075,5/4/2025,1094,2071,404,2.0,984.26,5,afternoon,2025-05-04
1076,5/4/2025,1078,2073,403,3.0,499.43,2,morning,2025-05-04
1077,5/4/2025,1188,2017,401,1.0,417.33,1,evening,2025-05-04
1078,5/4/2025,1114,2089,402,0.0,827.04,3,afternoon,2025-05-04
1079,5/4/2025,1054,2065,404,2.0,376.27,4,morning,2025-05-04
1081,5/4/2025,1099,2081,401,0.0,1492.44,2,evening,2025-05-04
1082,5/4/2025,1037,2060,404,0.0,1225.14,1,afternoon,2025-05-04
1084,5/4/2025,1020,2077,401,3.0,561.83,4,evening,2025-05-04
1086,5/4/2025,1198,2022,404,3.0,671.18,2,morning,2025-05-04
1087,5/4/2025,1002,2025,403,1.0,503.32,1,evening,2025-05-04
1088,5/4/2025,1008,2076,402,1.0,1450.93,3,afternoon,2025-05-04
1089,5/4/2025,1172,2004,403,1.0,834.52,4,morning,2025-05-04
1090,5/4/2025,1167,2000,402,0.0,969.31,5,morning,2025-05-04
1091,5/4/2025,1070,2099,404,2.0,1551.17,2,evening,2025-05-04
1094,5/4/2025,1140,2036,403,2.0,348.77,4,evening,2025-05-04
1100,5/4/2025,1096,2072,404,1.0,378.27,5,morning,2025-05-04
1102,5/4/2025,1150,2003,404,0.0,1155.54,1,afternoon,2025-05-04
1105,5/4/2025,1105,2045,401,2.0,499.42,5,afternoon,2025-05-04
1106,5/4/2025,1063,2036,401,3.0,653.94,2,morning,2025-05-04
1107,5/4/2025,1172,2095,403,0.0,981.58,1,evening,2025-05-04
1109,5/4/2025,1090,2027,403,1.0,698.25,4,morning,2025-05-04
1110,5/4/2025,1191,2087,402,3.0,955.92,5,morning,2025-05-04
1112,5/4/2025,1067,2026,402,1.0,380.81,1,afternoon,2025-05-04
1116,5/4/2025,1195,2069,401,3.0,697.17,2,morning,2025-05-04
1117,5/4/2025,1095,2079,403,3.0,950.54,1,evening,2025-05-04
1118,5/4/2025,1147,2035,404,1.0,809.99,3,afternoon,2025-05-04
1119,5/4/2025,1195,2065,403,3.0,1411.02,4,morning,2025-05-04
1122,5/4/2025,1128,2044,404,1.0,373.64,1,afternoon,2025-05-04
1124,5/4/2025,1176,2001,401,1.0,371.12,4,evening,2025-05-04
1125,5/4/2025,1097,2074,401,2.0,527.6,5,afternoon,2025-05-04
1126,5/4/2025,1092,2078,403,1.0,383.43,2,morning,2025-05-04
1127,5/4/2025,1140,2033,402,2.0,1338.0,1,evening,2025-05-04
1130,5/4/2025,1107,2089,403,2.0,330.82,5,morning,2025-05-04
1133,5/4/2025,1184,2034,402,3.0,680.85,3,morning,2025-05-04
1134,5/4/2025,1097,2025,402,1.0,1258.29,4,evening,2025-05-04
1139,5/4/2025,1055,2032,404,0.0,945.6,4,morning,2025-05-04
1142,5/4/2025,1005,2052,401,2.0,1170.02,1,afternoon,2025-05-04
1143,5/4/2025,1173,2077,402,1.0,1516.94,3,morning,2025-05-04
1144,5/4/2025,1199,2036,403,2.0,871.92,4,evening,2025-05-04
1146,5/4/2025,1020,2048,403,3.0,1072.89,2,morning,2025-05-04
1147,5/4/2025,1161,2018,402,2.0,1301.42,1,evening,2025-05-04
1149,5/4/2025,1020,2020,403,1.0,1014.74,4,morning,2025-05-04
1151,5/4/2025,1154,2082,404,2.0,639.84,2,evening,2025-05-04
1152,5/4/2025,1113,2099,403,3.0,646.32,1,afternoon,2025-05-04
1153,5/4/2025,1105,2021,402,0.0,835.41,3,morning,2025-05-04
1156,5/4/2025,1042,2050,401,0.0,1120.68,2,morning,2025-05-04
1157,5/4/2025,1016,2060,401,0.0,816.76,1,evening,2025-05-04
1158,5/4/2025,1197,2050,401,0.0,560.34,3,afternoon,2025-05-04
1161,5/4/2025,1063,2094,403,3.0,493.35,2,evening,2025-05-04
1162,5/4/2025,1160,2016,402,1.0,1162.87,1,afternoon,2025-05-04
1166,5/4/2025,1161,2095,404,2.0,392.63,2,morning,2025-05-04
1167,5/4/2025,1088,2061,402,0.0,799.68,1,evening,2025-05-04
1168,5/4/2025,1113,2039,403,3.0,976.44,3,afternoon,2025-05-04
1169,5/4/2025,1066,2019,403,0.0,933.93,4,morning,2025-05-04
1170,5/4/2025,1000,2066,402,2.0,412.85,5,morning,2025-05-04
1175,5/4/2025,1105,2071,404,3.0,615.16,5,afternoon,2025-05-04
1176,5/4/2025,1063,2020,404,3.0,375.83,2,morning,2025-05-04
1177,5/4/2025,1056,2033,401,3.0,836.25,1,evening,2025-05-04
1179,5/4/2025,1166,2095,403,3.0,1472.37,4,morning,2025-05-04
1181,5/4/2025,1074,2014,404,3.0,738.9,2,evening,2025-05-04
1182,5/4/2025,1069,2089,404,1.0,372.17,1,afternoon,2025-05-04
1186,5/4/2025,1186,2001,402,0.0,824.7,2,morning,2025-05-04
1192,5/4/2025,1139,2060,402,1.0,1102.63,1,afternoon,2025-05-04
1193,5/4/2025,1064,2048,401,0.0,715.26,3,morning,2025-05-04
1195,5/4/2025,1197,2056,402,0.0,1049.44,5,afternoon,2025-05-04
1197,5/4/2025,1121,2049,403,2.0,751.87,1,evening,2025-05-04
1201,5/4/2025,1060,2081,404,2.0,1193.95,2,evening,2025-05-04
1203,5/4/2025,1101,2031,401,0.0,1130.6,3,morning,2025-05-04
1206,5/4/2025,1040,2063,401,2.0,883.94,2,morning,2025-05-04
1210,5/4/2025,1142,2082,403,3.0,799.8,5,morning,2025-05-04
1211,5/4/2025,1187,2024,401,3.0,372.81,2,evening,2025-05-04
1212,5/4/2025,1091,2092,402,2.0,385.77,1,afternoon,2025-05-04
1213,5/4/2025,1010,2062,404,2.0,990.98,3,morning,2025-05-04
1214,5/4/2025,1138,2089,404,1.0,744.34,4,evening,2025-05-04
1215,5/4/2025,1145,2023,403,2.0,1503.26,5,afternoon,2025-05-04
1218,5/4/2025,1075,2033,403,3.0,836.25,3,afternoon,2025-05-04
1222,5/4/2025,1048,2067,404,1.0,785.56,1,afternoon,2025-05-04
1224,5/4/2025,1164,2041,401,0.0,804.21,4,evening,2025-05-04
1226,5/4/2025,1033,2022,401,1.0,604.06,2,morning,2025-05-04
1227,5/4/2025,1027,2062,402,0.0,1238.72,1,evening,2025-05-04
1228,5/4/2025,1008,2073,404,3.0,1498.29,3,afternoon,2025-05-04
1229,5/4/2025,1134,2079,403,0.0,950.54,4,morning,2025-05-04
1230,5/4/2025,1093,2028,401,0.0,1275.88,5,morning,2025-05-04
1233,5/4/2025,1142,2095,404,2.0,1177.9,3,morning,2025-05-04
1234,5/4/2025,1181,2007,403,0.0,583.39,4,evening,2025-05-04
1240,5/4/2025,1196,2081,403,3.0,746.22,5,morning,2025-05-04
1243,5/4/2025,1168,2020,404,2.0,601.33,3,morning,2025-05-04
1245,5/4/2025,1105,2097,404,2.0,673.68,5,afternoon,2025-05-04
1246,5/4/2025,1155,2030,402,3.0,509.91,2,morning,2025-05-04
1251,5/4/2025,1076,2028,402,2.0,1020.7,2,evening,2025-05-04
1253,5/4/2025,1024,2004,404,2.0,1483.6,3,morning,2025-05-04
1254,5/4/2025,1039,2017,403,2.0,370.96,4,evening,2025-05-04
1255,5/4/2025,1149,2031,402,2.0,904.48,5,afternoon,2025-05-04
1256,5/4/2025,1076,2011,404,1.0,737.53,2,morning,2025-05-04
1258,5/4/2025,1044,2062,401,2.0,495.49,3,afternoon,2025-05-04
1260,5/4/2025,1199,2007,403,2.0,1400.14,5,morning,2025-05-04
1262,5/4/2025,1191,2083,401,3.0,768.16,1,afternoon,2025-05-04
1263,5/4/2025,1013,2039,401,2.0,1562.3,3,morning,2025-05-04
1264,5/4/2025,1138,2072,402,2.0,672.48,4,evening,2025-05-04
1265,5/4/2025,1128,2089,402,1.0,744.34,5,afternoon,2025-05-04
1267,5/4/2025,1192,2076,401,1.0,1450.93,1,evening,2025-05-04
1268,5/4/2025,1110,2037,404,1.0,324.13,3,afternoon,2025-05-04
1272,5/4/2025,1198,2089,402,1.0,744.34,1,afternoon,2025-05-04
1276,5/4/2025,1082,2087,401,0.0,318.64,2,morning,2025-05-04
1280,5/4/2025,1043,2044,404,1.0,373.64,5,morning,2025-05-04
1282,5/4/2025,1175,2047,402,0.0,1004.94,1,afternoon,2025-05-04
1283,5/4/2025,1028,2094,401,1.0,888.03,3,morning,2025-05-04
1285,5/4/2025,1087,2088,401,2.0,567.48,5,afternoon,2025-05-04
1286,5/4/2025,1115,2060,401,2.0,980.11,2,morning,2025-05-04
1287,5/4/2025,1053,2094,402,1.0,888.03,1,evening,2025-05-04
1290,5/4/2025,1096,2074,401,2.0,1055.2,5,morning,2025-05-04
1291,5/4/2025,1043,2007,403,1.0,525.05,2,morning,2025-05-04
1292,5/4/2025,1178,2079,403,0.0,950.54,1,evening,2025-05-04
1293,5/4/2025,1119,2083,401,0.0,768.16,3,afternoon,2025-05-04
1295,5/4/2025,1027,2002,403,3.0,866.0,5,evening,2025-05-04
1296,5/4/2025,1059,2048,401,2.0,572.21,2,afternoon,2025-05-04
1298,5/4/2025,1050,2064,404,0.0,1470.2,3,morning,2025-05-04
1299,5/4/2025,1010,2031,403,2.0,1356.72,4,evening,2025-05-04
1300,5/4/2025,1125,2050,402,0.0,373.56,5,afternoon,2025-05-04
1301,5/4/2025,1088,2087,403,2.0,509.82,2,morning,2025-05-04
1304,5/4/2025,1007,2071,403,1.0,553.64,4,morning,2025-05-04
1305,5/4/2025,1038,2043,404,1.0,786.1,5,evening,2025-05-04
1307,5/4/2025,1106,2030,402,3.0,1019.82,1,morning,2025-05-04
1308,5/4/2025,1079,2077,403,3.0,561.83,3,morning,2025-05-04
1309,5/4/2025,1138,2016,402,1.0,872.15,4,evening,2025-05-04
1310,5/4/2025,1148,2069,402,1.0,418.3,5,afternoon,2025-05-04
1311,5/4/2025,1079,2088,402,3.0,709.35,2,morning,2025-05-04
1312,5/4/2025,1197,2018,402,2.0,867.62,1,evening,2025-05-04
1313,5/4/2025,1017,2071,401,1.0,553.64,3,afternoon,2025-05-04
1314,5/4/2025,1081,2018,401,2.0,867.62,4,morning,2025-05-04
1315,5/4/2025,1105,2052,403,3.0,731.26,5,evening,2025-05-04
1318,5/4/2025,1047,2003,403,1.0,346.66,3,morning,2025-05-04
1323,5/4/2025,1035,2020,402,1.0,676.49,3,afternoon,2025-05-04
1324,5/4/2025,1008,2052,401,2.0,585.01,4,morning,2025-05-04
1325,5/4/2025,1105,2028,402,1.0,1148.29,5,evening,2025-05-04
1327,5/4/2025,1176,2041,404,1.0,1447.58,1,morning,2025-05-04
1328,5/4/2025,1109,2051,401,3.0,469.28,3,morning,2025-05-04
1331,5/4/2025,1010,2031,404,0.0,1130.6,2,morning,2025-05-04
1333,5/4/2025,1074,2056,404,2.0,839.55,3,afternoon,2025-05-04
1334,5/4/2025,1198,2036,404,1.0,392.36,4,morning,2025-05-04
1335,5/4/2025,1108,2037,401,1.0,648.25,5,evening,2025-05-04
1336,5/4/2025,1118,2082,404,0.0,799.8,2,afternoon,2025-05-04
1346,5/4/2025,1196,2021,403,1.0,751.87,2,afternoon,2025-05-04
1347,5/4/2025,1041,2018,402,0.0,1084.52,1,morning,2025-05-04
1350,5/4/2025,1033,2025,401,2.0,671.09,5,afternoon,2025-05-04
1354,5/4/2025,1104,2056,401,0.0,1574.16,4,morning,2025-05-04
1357,5/4/2025,1167,2044,401,1.0,560.47,1,morning,2025-05-04
1359,5/4/2025,1022,2006,401,3.0,990.0,4,evening,2025-05-04
1360,5/4/2025,1045,2020,403,1.0,1352.99,5,afternoon,2025-05-04
1361,5/4/2025,1116,2095,403,0.0,981.58,2,morning,2025-05-04
1362,5/4/2025,1023,2098,403,2.0,1452.58,1,evening,2025-05-04
1363,5/4/2025,1094,2048,401,3.0,1072.89,3,afternoon,2025-05-04
1365,5/4/2025,1034,2015,403,2.0,1079.95,5,evening,2025-05-04
1366,5/4/2025,1134,2052,402,1.0,1316.27,2,afternoon,2025-05-04
1370,5/4/2025,1033,2078,404,3.0,568.04,5,afternoon,2025-05-04
1376,5/4/2025,1163,2025,403,2.0,447.39,2,afternoon,2025-05-04
1380,5/4/2025,1049,2042,403,3.0,670.44,5,afternoon,2025-05-04
1382,5/4/2025,1039,2080,404,2.0,665.81,1,evening,2025-05-04
1384,5/4/2025,1144,2092,403,0.0,1446.63,4,morning,2025-05-04
1385,5/4/2025,1053,2073,403,2.0,1198.63,5,evening,2025-05-04
1387,5/4/2025,1086,2048,402,3.0,1072.89,1,morning,2025-05-04
1391,5/4/2025,1095,2057,403,1.0,786.56,2,morning,2025-05-04
1392,5/4/2025,1134,2038,402,0.0,926.51,1,evening,2025-05-04
1395,5/4/2025,1128,2019,402,2.0,1494.29,5,evening,2025-05-04
1397,5/4/2025,1036,2098,401,1.0,817.07,1,morning,2025-05-04
1399,5/4/2025,1099,2091,401,0.0,905.79,4,evening,2025-05-04
1401,5/4/2025,1119,2005,401,2.0,686.05,2,morning,2025-05-04
1406,5/4/2025,1040,2035,401,0.0,899.99,2,afternoon,2025-05-04
1411,5/4/2025,1138,2056,401,1.0,944.5,2,morning,2025-05-04
1412,5/4/2025,1007,2060,401,0.0,816.76,1,evening,2025-05-04
1413,5/4/2025,1098,2006,401,3.0,990.0,3,afternoon,2025-05-04
1417,5/4/2025,1023,2089,404,0.0,413.52,1,morning,2025-05-04
1419,5/4/2025,1059,2028,402,2.0,1531.06,4,evening,2025-05-04
1422,5/4/2025,1016,2060,401,2.0,653.41,1,evening,2025-05-04
1423,5/4/2025,1122,2059,402,2.0,1228.92,3,afternoon,2025-05-04
1426,5/4/2025,1142,2083,401,2.0,1229.06,2,afternoon,2025-05-04
1429,5/4/2025,1123,2049,401,2.0,751.87,4,evening,2025-05-04
1430,5/4/2025,1053,2088,404,3.0,709.35,5,afternoon,2025-05-04
1431,5/4/2025,1145,2043,402,1.0,1572.21,2,morning,2025-05-04
1432,5/4/2025,1169,2085,401,3.0,1210.75,1,evening,2025-05-04
1433,5/4/2025,1029,2075,404,2.0,1249.02,3,afternoon,2025-05-04
1436,5/4/2025,1175,2076,404,2.0,1289.71,2,afternoon,2025-05-04
1437,5/4/2025,1126,2082,401,0.0,1066.4,1,morning,2025-05-04
1439,5/4/2025,1169,2019,404,2.0,747.14,4,evening,2025-05-04
1440,5/4/2025,1099,2078,404,1.0,383.43,5,afternoon,2025-05-04
1443,5/4/2025,1183,2044,401,0.0,1037.9,3,afternoon,2025-05-04
1444,5/4/2025,1156,2065,404,1.0,423.31,4,morning,2025-05-04
1445,5/4/2025,1075,2007,403,0.0,1166.78,5,evening,2025-05-04
1449,5/4/2025,1182,2048,404,3.0,357.63,4,evening,2025-05-04
1450,5/4/2025,1111,2069,402,1.0,836.6,5,afternoon,2025-05-04
1452,5/4/2025,1092,2053,402,2.0,1464.36,1,evening,2025-05-04
1453,5/4/2025,1171,2016,402,0.0,646.04,3,afternoon,2025-05-04
1456,5/4/2025,1021,2017,404,3.0,463.7,2,afternoon,2025-05-04
1457,5/4/2025,1178,2077,404,1.0,505.65,1,morning,2025-05-04
1458,5/4/2025,1116,2065,404,3.0,470.34,3,morning,2025-05-04
1461,5/4/2025,1187,2030,403,3.0,509.91,2,morning,2025-05-04
1462,5/4/2025,1139,2073,403,0.0,499.43,1,evening,2025-05-04
1467,5/4/2025,1120,2080,401,2.0,665.81,1,morning,2025-05-04
